// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1/" /p:OutDir="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\publish/" in D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1
// command took 2.85 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1/" /p:OutDir="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\publish/" --output "D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\bin\Release\net10.0/" in D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1
// command took 21.27 sec and exited with 0
// ***** Done, took 00:00:24 (24.26 sec)   *****
// Found 2 benchmarks:
//   ApiBenchmarks.Net8_EFCore8: DefaultJob
//   ApiBenchmarks.Net10_EFCore10: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ApiBenchmarks.Net8_EFCore8: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet ApiBenchmarks-DefaultJob-1.dll --anonymousPipes 656 1360 --benchmarkName DefaultNamespace.ApiBenchmarks.Net8_EFCore8 --job Default --benchmarkId 0 in D:\Elmah.io\EfCoreBenchmarkDemo\ApiBenchmarks\bin\Release\net10.0\ApiBenchmarks-DefaultJob-1\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 349900.00 ns, 349.9000 us/op
WorkloadJitting  1: 1 op, 800405600.00 ns, 800.4056 ms/op

OverheadJitting  2: 1 op, 1100.00 ns, 1.1000 us/op
WorkloadJitting  2: 1 op, 353508700.00 ns, 353.5087 ms/op

WorkloadWarmup   1: 1 op, 255894400.00 ns, 255.8944 ms/op
WorkloadWarmup   2: 1 op, 325161900.00 ns, 325.1619 ms/op
WorkloadWarmup   3: 1 op, 178625600.00 ns, 178.6256 ms/op
WorkloadWarmup   4: 1 op, 174628200.00 ns, 174.6282 ms/op
WorkloadWarmup   5: 1 op, 133079600.00 ns, 133.0796 ms/op
WorkloadWarmup   6: 1 op, 148325100.00 ns, 148.3251 ms/op
WorkloadWarmup   7: 1 op, 117489900.00 ns, 117.4899 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 113218500.00 ns, 113.2185 ms/op
WorkloadActual   2: 1 op, 112819600.00 ns, 112.8196 ms/op
WorkloadActual   3: 1 op, 138494600.00 ns, 138.4946 ms/op
WorkloadActual   4: 1 op, 116954800.00 ns, 116.9548 ms/op
WorkloadActual   5: 1 op, 106540500.00 ns, 106.5405 ms/op
WorkloadActual   6: 1 op, 105291000.00 ns, 105.2910 ms/op
WorkloadActual   7: 1 op, 135307400.00 ns, 135.3074 ms/op
WorkloadActual   8: 1 op, 103367000.00 ns, 103.3670 ms/op
WorkloadActual   9: 1 op, 121644300.00 ns, 121.6443 ms/op
WorkloadActual  10: 1 op, 116092500.00 ns, 116.0925 ms/op
WorkloadActual  11: 1 op, 118023300.00 ns, 118.0233 ms/op
WorkloadActual  12: 1 op, 107399700.00 ns, 107.3997 ms/op
WorkloadActual  13: 1 op, 119054200.00 ns, 119.0542 ms/op
WorkloadActual  14: 1 op, 109509700.00 ns, 109.5097 ms/op
WorkloadActual  15: 1 op, 111615500.00 ns, 111.6155 ms/op
WorkloadActual  16: 1 op, 103838800.00 ns, 103.8388 ms/op
WorkloadActual  17: 1 op, 76584500.00 ns, 76.5845 ms/op
WorkloadActual  18: 1 op, 173281100.00 ns, 173.2811 ms/op
WorkloadActual  19: 1 op, 67186800.00 ns, 67.1868 ms/op
WorkloadActual  20: 1 op, 110962900.00 ns, 110.9629 ms/op
WorkloadActual  21: 1 op, 101874100.00 ns, 101.8741 ms/op
WorkloadActual  22: 1 op, 93887300.00 ns, 93.8873 ms/op
WorkloadActual  23: 1 op, 68022300.00 ns, 68.0223 ms/op
WorkloadActual  24: 1 op, 64887900.00 ns, 64.8879 ms/op
WorkloadActual  25: 1 op, 94963300.00 ns, 94.9633 ms/op
WorkloadActual  26: 1 op, 107570400.00 ns, 107.5704 ms/op
WorkloadActual  27: 1 op, 105902600.00 ns, 105.9026 ms/op
WorkloadActual  28: 1 op, 92034100.00 ns, 92.0341 ms/op
WorkloadActual  29: 1 op, 108598800.00 ns, 108.5988 ms/op
WorkloadActual  30: 1 op, 97740900.00 ns, 97.7409 ms/op
WorkloadActual  31: 1 op, 85866000.00 ns, 85.8660 ms/op
WorkloadActual  32: 1 op, 87237400.00 ns, 87.2374 ms/op
WorkloadActual  33: 1 op, 65069500.00 ns, 65.0695 ms/op
WorkloadActual  34: 1 op, 120518900.00 ns, 120.5189 ms/op
WorkloadActual  35: 1 op, 81072100.00 ns, 81.0721 ms/op
WorkloadActual  36: 1 op, 77329900.00 ns, 77.3299 ms/op
WorkloadActual  37: 1 op, 96371700.00 ns, 96.3717 ms/op
WorkloadActual  38: 1 op, 98119700.00 ns, 98.1197 ms/op
WorkloadActual  39: 1 op, 106419700.00 ns, 106.4197 ms/op
WorkloadActual  40: 1 op, 95097800.00 ns, 95.0978 ms/op
WorkloadActual  41: 1 op, 101367800.00 ns, 101.3678 ms/op
WorkloadActual  42: 1 op, 101886900.00 ns, 101.8869 ms/op
WorkloadActual  43: 1 op, 182235600.00 ns, 182.2356 ms/op
WorkloadActual  44: 1 op, 87978400.00 ns, 87.9784 ms/op
WorkloadActual  45: 1 op, 82542500.00 ns, 82.5425 ms/op
WorkloadActual  46: 1 op, 65084400.00 ns, 65.0844 ms/op
WorkloadActual  47: 1 op, 70216900.00 ns, 70.2169 ms/op
WorkloadActual  48: 1 op, 60506500.00 ns, 60.5065 ms/op
WorkloadActual  49: 1 op, 68780700.00 ns, 68.7807 ms/op
WorkloadActual  50: 1 op, 83644900.00 ns, 83.6449 ms/op
WorkloadActual  51: 1 op, 83679400.00 ns, 83.6794 ms/op
WorkloadActual  52: 1 op, 74931000.00 ns, 74.9310 ms/op
WorkloadActual  53: 1 op, 62808700.00 ns, 62.8087 ms/op
WorkloadActual  54: 1 op, 71330800.00 ns, 71.3308 ms/op
WorkloadActual  55: 1 op, 100261400.00 ns, 100.2614 ms/op
WorkloadActual  56: 1 op, 85919100.00 ns, 85.9191 ms/op
WorkloadActual  57: 1 op, 91308000.00 ns, 91.3080 ms/op
WorkloadActual  58: 1 op, 104353800.00 ns, 104.3538 ms/op
WorkloadActual  59: 1 op, 88146200.00 ns, 88.1462 ms/op
WorkloadActual  60: 1 op, 58705100.00 ns, 58.7051 ms/op
WorkloadActual  61: 1 op, 68131900.00 ns, 68.1319 ms/op
WorkloadActual  62: 1 op, 92379400.00 ns, 92.3794 ms/op
WorkloadActual  63: 1 op, 70914300.00 ns, 70.9143 ms/op
WorkloadActual  64: 1 op, 81333200.00 ns, 81.3332 ms/op
WorkloadActual  65: 1 op, 59554500.00 ns, 59.5545 ms/op
WorkloadActual  66: 1 op, 72401800.00 ns, 72.4018 ms/op
WorkloadActual  67: 1 op, 87533500.00 ns, 87.5335 ms/op
WorkloadActual  68: 1 op, 59157400.00 ns, 59.1574 ms/op
WorkloadActual  69: 1 op, 62285300.00 ns, 62.2853 ms/op
WorkloadActual  70: 1 op, 67117100.00 ns, 67.1171 ms/op
WorkloadActual  71: 1 op, 73519200.00 ns, 73.5192 ms/op
WorkloadActual  72: 1 op, 85283300.00 ns, 85.2833 ms/op
WorkloadActual  73: 1 op, 89097100.00 ns, 89.0971 ms/op
WorkloadActual  74: 1 op, 99521400.00 ns, 99.5214 ms/op
WorkloadActual  75: 1 op, 90524900.00 ns, 90.5249 ms/op
WorkloadActual  76: 1 op, 57280600.00 ns, 57.2806 ms/op
WorkloadActual  77: 1 op, 63141300.00 ns, 63.1413 ms/op
WorkloadActual  78: 1 op, 60013500.00 ns, 60.0135 ms/op
WorkloadActual  79: 1 op, 90796800.00 ns, 90.7968 ms/op
WorkloadActual  80: 1 op, 88511900.00 ns, 88.5119 ms/op
WorkloadActual  81: 1 op, 86051400.00 ns, 86.0514 ms/op
WorkloadActual  82: 1 op, 63262300.00 ns, 63.2623 ms/op
WorkloadActual  83: 1 op, 97509800.00 ns, 97.5098 ms/op
WorkloadActual  84: 1 op, 87809300.00 ns, 87.8093 ms/op
WorkloadActual  85: 1 op, 86326600.00 ns, 86.3266 ms/op
WorkloadActual  86: 1 op, 84133000.00 ns, 84.1330 ms/op
WorkloadActual  87: 1 op, 64265400.00 ns, 64.2654 ms/op
WorkloadActual  88: 1 op, 55079400.00 ns, 55.0794 ms/op
WorkloadActual  89: 1 op, 62929500.00 ns, 62.9295 ms/op
WorkloadActual  90: 1 op, 155571500.00 ns, 155.5715 ms/op
WorkloadActual  91: 1 op, 69052000.00 ns, 69.0520 ms/op
WorkloadActual  92: 1 op, 111812200.00 ns, 111.8122 ms/op
WorkloadActual  93: 1 op, 103043600.00 ns, 103.0436 ms/op
WorkloadActual  94: 1 op, 69177900.00 ns, 69.1779 ms/op
WorkloadActual  95: 1 op, 82601800.00 ns, 82.6018 ms/op
WorkloadActual  96: 1 op, 77679000.00 ns, 77.6790 ms/op
WorkloadActual  97: 1 op, 62485600.00 ns, 62.4856 ms/op
WorkloadActual  98: 1 op, 71084600.00 ns, 71.0846 ms/op
WorkloadActual  99: 1 op, 63610100.00 ns, 63.6101 ms/op
WorkloadActual  100: 1 op, 58080800.00 ns, 58.0808 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 113218500.00 ns, 113.2185 ms/op
WorkloadResult   2: 1 op, 112819600.00 ns, 112.8196 ms/op
WorkloadResult   3: 1 op, 138494600.00 ns, 138.4946 ms/op
WorkloadResult   4: 1 op, 116954800.00 ns, 116.9548 ms/op
WorkloadResult   5: 1 op, 106540500.00 ns, 106.5405 ms/op
WorkloadResult   6: 1 op, 105291000.00 ns, 105.2910 ms/op
WorkloadResult   7: 1 op, 135307400.00 ns, 135.3074 ms/op
WorkloadResult   8: 1 op, 103367000.00 ns, 103.3670 ms/op
WorkloadResult   9: 1 op, 121644300.00 ns, 121.6443 ms/op
WorkloadResult  10: 1 op, 116092500.00 ns, 116.0925 ms/op
WorkloadResult  11: 1 op, 118023300.00 ns, 118.0233 ms/op
WorkloadResult  12: 1 op, 107399700.00 ns, 107.3997 ms/op
WorkloadResult  13: 1 op, 119054200.00 ns, 119.0542 ms/op
WorkloadResult  14: 1 op, 109509700.00 ns, 109.5097 ms/op
WorkloadResult  15: 1 op, 111615500.00 ns, 111.6155 ms/op
WorkloadResult  16: 1 op, 103838800.00 ns, 103.8388 ms/op
WorkloadResult  17: 1 op, 76584500.00 ns, 76.5845 ms/op
WorkloadResult  18: 1 op, 67186800.00 ns, 67.1868 ms/op
WorkloadResult  19: 1 op, 110962900.00 ns, 110.9629 ms/op
WorkloadResult  20: 1 op, 101874100.00 ns, 101.8741 ms/op
WorkloadResult  21: 1 op, 93887300.00 ns, 93.8873 ms/op
